"general_id","idprovince","province"
"569450856","ITC48","Pavia"
"503795237","ITC46","Bergamo"
"544529155","ITC4B","Mantova"
"576586706","ITC4C","Milano"
"607965836","ITC47","Brescia"
"542327279","ITC4B","Mantova"
"577850482","ITC4C","Milano"
"561534222","ITC41","Varese"
"547901753","ITC47","Brescia"
"543455557","ITC48","Pavia"
"598016526","ITC4B","Mantova"
"543461227","ITC4D","Monza e della Brianza"
"503788505","ITC4C","Milano"
"543672801","ITC4C","Milano"
"509989610","ITC4C","Milano"
"573466025","ITC4C","Milano"
"509993441","ITC46","Bergamo"
"578218543","ITC48","Pavia"
"597935756","ITC4A","Cremona"
"589952813","ITC47","Brescia"
"552631266","ITC4C","Milano"
"586849976","ITC4D","Monza e della Brianza"
"595879313","ITC4A","Cremona"
"557654974","ITC4C","Milano"
"530898155","ITC48","Pavia"
"576584399","ITC46","Bergamo"
"596135427","ITC4C","Milano"
"586847931","ITC4C","Milano"
"550869278","ITC47","Brescia"
"557690534","ITC4D","Monza e della Brianza"
"549636876","ITC4B","Mantova"
"595297255","ITC47","Brescia"
"598557726","ITC4C","Milano"
"550948309","ITC42","Como"
"593190516","ITC46","Bergamo"
"533560402","ITC47","Brescia"
"580930172","ITC47","Brescia"
"424758585","ITC4D","Monza e della Brianza"
"541794605","ITC4C","Milano"
"533804025","ITC4C","Milano"
"576131545","ITC4D","Monza e della Brianza"
"552765089","ITC4A","Cremona"
"566341374","ITC4D","Monza e della Brianza"
"592036818","ITC47","Brescia"
"536756464","ITC43","Lecco"
"580752427","ITC43","Lecco"
"533785133","ITC47","Brescia"
"566331659","ITC4A","Cremona"
"596136063","ITC46","Bergamo"
"543467108","ITC46","Bergamo"
"592484987","ITC46","Bergamo"
"586209351","ITC4C","Milano"
"561541071","ITC4C","Milano"
"591575923","ITC46","Bergamo"
"589925573","ITC4A","Cremona"
"509988788","ITC4D","Monza e della Brianza"
"585239193","ITC47","Brescia"
"552420379","ITC42","Como"
"533805938","ITC41","Varese"
"586694939","ITC4A","Cremona"
"605746647","ITC4C","Milano"
"580753921","ITC48","Pavia"
"590085898","ITC4A","Cremona"
"581107504","ITC46","Bergamo"
"543469259","ITC44","Sondrio"
"590086427","ITC46","Bergamo"
"586854944","ITC4C","Milano"
"503829927","ITC47","Brescia"
"547532542","ITC4C","Milano"
"361131682","ITC4C","Milano"
"550868052","ITC41","Varese"
"578215667","ITC4C","Milano"
"593190764","ITC46","Bergamo"
"536765457","ITC49","Lodi"
"591578354","ITC4D","Monza e della Brianza"
"548820760","ITC4C","Milano"
"580751921","ITC41","Varese"
"536760046","ITC46","Bergamo"
"566076771","ITC4C","Milano"
"557601779","ITC47","Brescia"
"587432105","ITC48","Pavia"
"595297701","ITC47","Brescia"
"501261340","ITC4C","Milano"
"561673813","ITC43","Lecco"
"612943174","ITC4C","Milano"
"558341575","ITC4C","Milano"
"572284860","ITC4C","Milano"
"586868716","ITC46","Bergamo"
"580926743","ITC4D","Monza e della Brianza"
"580755436","ITC4C","Milano"
"580305363","ITC41","Varese"
"572288419","ITC46","Bergamo"
"590636895","ITC4B","Mantova"
"548030446","ITC4C","Milano"
"595438478","ITC4C","Milano"
"591575478","ITC44","Sondrio"
"576586651","ITC46","Bergamo"
"542341229","ITC4D","Monza e della Brianza"
"613564108","ITC48","Pavia"
"550796479","ITC49","Lodi"
"596139174","ITC4A","Cremona"
"591576188","ITC47","Brescia"
"544509378","ITC4A","Cremona"
"503772456","ITC4C","Milano"
"544249458","ITC4D","Monza e della Brianza"
"609756995","ITC46","Bergamo"
"504267638","ITC4C","Milano"
"566335080","ITC4C","Milano"
"533577668","ITC48","Pavia"
"533523634","ITC4C","Milano"
"582603118","ITC4C","Milano"
"552347533","ITC4C","Milano"
"552342146","ITC4C","Milano"
"580425733","ITC48","Pavia"
"533464977","ITC41","Varese"
"530920580","ITC4C","Milano"
"607612374","ITC4C","Milano"
"552716561","ITC4C","Milano"
"609754565","ITC41","Varese"
"578280094","ITC4D","Monza e della Brianza"
"597993219","ITC4C","Milano"
"566981287","ITC47","Brescia"
"612943834","ITC46","Bergamo"
"536755762","ITC42","Como"
"578212090","ITC4C","Milano"
"509985449","ITC47","Brescia"
"552346512","ITC4C","Milano"
"548609125","ITC4C","Milano"
"572290022","ITC41","Varese"
"590148135","ITC4D","Monza e della Brianza"
"607861433","ITC4C","Milano"
"546288554","ITC4C","Milano"
"505279037","ITC46","Bergamo"
"612932260","ITC4C","Milano"
"572459078","ITC4C","Milano"
"584233172","ITC4C","Milano"
"504335237","ITC4C","Milano"
"508861286","ITC4C","Milano"
"572289391","ITC4C","Milano"
"557003452","ITC46","Bergamo"
"566082278","ITC4C","Milano"
"591312349","ITC4C","Milano"
"567237135","ITC4C","Milano"
"578214333","ITC4C","Milano"
"587449073","ITC4C","Milano"
"533909367","ITC4C","Milano"
"566902704","ITC4D","Monza e della Brianza"
"533584888","ITC4C","Milano"
"566340804","ITC4D","Monza e della Brianza"
"600160886","ITC4C","Milano"
"455391707","ITC4D","Monza e della Brianza"
"578581354","ITC4C","Milano"
"533781750","ITC4D","Monza e della Brianza"
"566698661","ITC4D","Monza e della Brianza"
"580755486","ITC4C","Milano"
"569498959","ITC4C","Milano"
"547900898","ITC43","Lecco"
"591592269","ITC4C","Milano"
"615460179","ITC47","Brescia"
"538055137","ITC4C","Milano"
"542322182","ITC4D","Monza e della Brianza"
"509984691","ITC4C","Milano"
"530426126","ITC4C","Milano"
"591576643","ITC46","Bergamo"
"615544095","ITC47","Brescia"
"548796117","ITC4C","Milano"
"612581471","ITC41","Varese"
"578214700","ITC4C","Milano"
"556079302","ITC48","Pavia"
"548896454","ITC4C","Milano"
"612564304","ITC48","Pavia"
"609290268","ITC4C","Milano"
"566840945","ITC4C","Milano"
"547901044","ITC44","Sondrio"
"503502685","ITC4C","Milano"
"606428309","ITC4C","Milano"
"612871453","ITC4C","Milano"
"530829027","ITC4C","Milano"
"542350168","ITC48","Pavia"
"614835313","ITC47","Brescia"
"575791512","ITC4C","Milano"
"566902704","ITC4B","Mantova"
"581628887","ITC47","Brescia"
"580926224","ITC4B","Mantova"
"550872274","ITC4C","Milano"
"578215932","ITC4C","Milano"
"580473335","ITC4C","Milano"
"584221013","ITC4C","Milano"
"593048207","ITC41","Varese"
"607965812","ITC46","Bergamo"
"550858648","ITC4C","Milano"
"552496853","ITC4C","Milano"
"557999436","ITC4C","Milano"
"533539223","ITC47","Brescia"
"614835350","ITC46","Bergamo"
"589085437","ITC48","Pavia"
"607242810","ITC47","Brescia"
"565355083","ITC4C","Milano"
"551974394","ITC4C","Milano"
"578211485","ITC4C","Milano"
"607863047","ITC47","Brescia"
"566074504","ITC4C","Milano"
"552346912","ITC41","Varese"
"606428315","ITC4D","Monza e della Brianza"
"609757614","ITC4C","Milano"
"542354037","ITC4C","Milano"
"606425003","ITC4C","Milano"
"585182526","ITC4D","Monza e della Brianza"
"607241609","ITC47","Brescia"
"578574048","ITC44","Sondrio"
"575788800","ITC4C","Milano"
"552743948","ITC41","Varese"
"542299363","ITC48","Pavia"
"572289903","ITC46","Bergamo"
"591312348","ITC4C","Milano"
"505266720","ITC48","Pavia"
"536769898","ITC4C","Milano"
"595434959","ITC41","Varese"
"592548041","ITC4C","Milano"
"600006848","ITC4C","Milano"
"543497648","ITC4C","Milano"
"567384267","ITC4C","Milano"
"370617565","ITC48","Pavia"
"580929193","ITC4C","Milano"
"494505933","ITC4C","Milano"
"487158869","ITC4C","Milano"
"557586343","ITC47","Brescia"
"594486876","ITC4C","Milano"
"606430835","ITC4C","Milano"
"508861487","ITC46","Bergamo"
"586850122","ITC4D","Monza e della Brianza"
"610948428","ITC4C","Milano"
"509984893","ITC4C","Milano"
"547623045","ITC4C","Milano"
"614462907","ITC4A","Cremona"
"607920879","ITC4C","Milano"
"614363685","ITC4C","Milano"
"547623659","ITC41","Varese"
"609243174","ITC4C","Milano"
"615472028","ITC4C","Milano"
"543468555","ITC43","Lecco"
"574876969","ITC4C","Milano"
"536770678","ITC4C","Milano"
"509994861","ITC4C","Milano"
"578214895","ITC4C","Milano"
"612870603","ITC4C","Milano"
"575959094","ITC4C","Milano"
"614836731","ITC47","Brescia"
"605549595","ITC4A","Cremona"
"563634393","ITC46","Bergamo"
"509988055","ITC4C","Milano"
"591578112","ITC4C","Milano"
"556085039","ITC43","Lecco"
"612278241","ITC46","Bergamo"
"542357089","ITC4C","Milano"
"579449920","ITC4C","Milano"
"557550441","ITC46","Bergamo"
"550870181","ITC4C","Milano"
"587463744","ITC4C","Milano"
"548675747","ITC4D","Monza e della Brianza"
"508701528","ITC4C","Milano"
"547536782","ITC46","Bergamo"
"511928510","ITC4C","Milano"
"595434043","ITC4C","Milano"
"605114300","ITC49","Lodi"
"612563521","ITC46","Bergamo"
"566838835","ITC48","Pavia"
"548796142","ITC4C","Milano"
"605548280","ITC4C","Milano"
"550869916","ITC4D","Monza e della Brianza"
"599346338","ITC4D","Monza e della Brianza"
"548765952","ITC4C","Milano"
"542351162","ITC44","Sondrio"
"571462980","ITC4C","Milano"
"509987641","ITC46","Bergamo"
"492804559","ITC43","Lecco"
"584789793","ITC4C","Milano"
"586689287","ITC4C","Milano"
"547539122","ITC47","Brescia"
"600006394","ITC41","Varese"
"572291812","ITC4C","Milano"
"592248566","ITC4C","Milano"
"575629257","ITC47","Brescia"
"583182882","ITC4C","Milano"
"576587519","ITC4B","Mantova"
"547536201","ITC4C","Milano"
"550866182","ITC46","Bergamo"
"595400648","ITC4C","Milano"
"566697117","ITC4C","Milano"
"533513791","ITC4A","Cremona"
"573947069","ITC47","Brescia"
"563451898","ITC4C","Milano"
"533594435","ITC4C","Milano"
"609574603","ITC4C","Milano"
"425380247","ITC47","Brescia"
"548675368","ITC47","Brescia"
"544988221","ITC4C","Milano"
"595433509","ITC4C","Milano"
"593192196","ITC4C","Milano"
"550859695","ITC4C","Milano"
"578577027","ITC41","Varese"
"610940003","ITC4C","Milano"
"545113111","ITC47","Brescia"
"505279131","ITC46","Bergamo"
"547902758","ITC4B","Mantova"
"605067859","ITC42","Como"
"612933526","ITC46","Bergamo"
"574811668","ITC4C","Milano"
"533816696","ITC4C","Milano"
"536774016","ITC4D","Monza e della Brianza"
"613546351","ITC4C","Milano"
"498427797","ITC4D","Monza e della Brianza"
"557599607","ITC47","Brescia"
"561540006","ITC47","Brescia"
"544338523","ITC41","Varese"
"533816346","ITC4C","Milano"
"576584179","ITC42","Como"
"578219255","ITC4C","Milano"
"614302576","ITC41","Varese"
"607865062","ITC4C","Milano"
"571467426","ITC4C","Milano"
"556077560","ITC4D","Monza e della Brianza"
"590148314","ITC41","Varese"
"583105017","ITC4C","Milano"
"587483938","ITC4C","Milano"
"503891290","ITC4D","Monza e della Brianza"
"575625696","ITC4C","Milano"
"542358188","ITC48","Pavia"
"614323808","ITC48","Pavia"
"542326742","ITC4C","Milano"
"550865927","ITC46","Bergamo"
"488644841","ITC4D","Monza e della Brianza"
"530735278","ITC41","Varese"
"547902532","ITC4A","Cremona"
"597954766","ITC4C","Milano"
"586871478","ITC4C","Milano"
"609290174","ITC42","Como"
"598557841","ITC4C","Milano"
"579456633","ITC42","Como"
"533807634","ITC42","Como"
"455386945","ITC46","Bergamo"
"563451987","ITC4C","Milano"
"578211602","ITC4C","Milano"
"606423950","ITC4C","Milano"
"553331111","ITC4C","Milano"
"580373873","ITC47","Brescia"
"591307314","ITC41","Varese"
"605486800","ITC49","Lodi"
"586871426","ITC4B","Mantova"
"565347057","ITC4C","Milano"
"572273118","ITC46","Bergamo"
"615498568","ITC4C","Milano"
"611338854","ITC4C","Milano"
"406014562","ITC4C","Milano"
"596138264","ITC47","Brescia"
"533805054","ITC47","Brescia"
"550869372","ITC46","Bergamo"
"504339591","ITC47","Brescia"
"530795157","ITC4C","Milano"
"575791850","ITC4C","Milano"
"556079781","ITC4C","Milano"
"566839945","ITC47","Brescia"
"605480546","ITC4D","Monza e della Brianza"
"566332656","ITC4B","Mantova"
"606541090","ITC4C","Milano"
"547529675","ITC46","Bergamo"
"593190819","ITC4C","Milano"
"609573473","ITC41","Varese"
"574946487","ITC46","Bergamo"
"606534984","ITC4C","Milano"
"615472548","ITC4C","Milano"
"590630850","ITC4C","Milano"
"556075951","ITC47","Brescia"
"591312352","ITC4C","Milano"
"566328875","ITC4B","Mantova"
"593192013","ITC42","Como"
"596998823","ITC4C","Milano"
"552680284","ITC4C","Milano"
"566115473","ITC41","Varese"
"561064122","ITC4C","Milano"
"590151486","ITC4C","Milano"
"549895217","ITC4D","Monza e della Brianza"
"615472440","ITC46","Bergamo"
"591312350","ITC4C","Milano"
"612870555","ITC4C","Milano"
"509987893","ITC41","Varese"
"606428295","ITC43","Lecco"
"609574449","ITC4C","Milano"
"582599311","ITC43","Lecco"
"336091897","ITC4D","Monza e della Brianza"
"588291925","ITC4C","Milano"
"595202805","ITC4C","Milano"
"612872033","ITC4C","Milano"
"557668156","ITC4C","Milano"
"596137277","ITC47","Brescia"
"533787469","ITC4C","Milano"
"552714911","ITC4C","Milano"
"609729633","ITC42","Como"
"548025105","ITC4C","Milano"
"548820009","ITC4C","Milano"
"580921638","ITC4C","Milano"
"580756054","ITC4D","Monza e della Brianza"
"543469184","ITC4C","Milano"
"566967304","ITC46","Bergamo"
"552427815","ITC4C","Milano"
"563452145","ITC48","Pavia"
"561539405","ITC43","Lecco"
"600006788","ITC4C","Milano"
"607254461","ITC4C","Milano"
"470979715","ITC46","Bergamo"
"605111298","ITC46","Bergamo"
"593367355","ITC4C","Milano"
"573526330","ITC4C","Milano"
"568291024","ITC4D","Monza e della Brianza"
"582603153","ITC4C","Milano"
"591311698","ITC4C","Milano"
"578217974","ITC4C","Milano"
"580750865","ITC46","Bergamo"
"536748993","ITC4C","Milano"
"504317555","ITC4C","Milano"
"607865945","ITC4C","Milano"
"573464799","ITC41","Varese"
"543455901","ITC4D","Monza e della Brianza"
"596156504","ITC49","Lodi"
"555426712","ITC4C","Milano"
"605549361","ITC43","Lecco"
"613157227","ITC46","Bergamo"
"533559698","ITC4C","Milano"
"572272288","ITC47","Brescia"
"597002375","ITC46","Bergamo"
"580755714","ITC4C","Milano"
"550859663","ITC4D","Monza e della Brianza"
"612563500","ITC46","Bergamo"
"544338481","ITC41","Varese"
"566079975","ITC4C","Milano"
"542328622","ITC4C","Milano"
"590149609","ITC4C","Milano"
"555183075","ITC4C","Milano"
"612565883","ITC4C","Milano"
"615460037","ITC4C","Milano"
"541794472","ITC46","Bergamo"
"575713040","ITC4C","Milano"
"336053637","ITC4C","Milano"
"547903789","ITC4D","Monza e della Brianza"
"566114731","ITC48","Pavia"
"541794380","ITC46","Bergamo"
"575791600","ITC4C","Milano"
"547531704","ITC4D","Monza e della Brianza"
"592718021","ITC48","Pavia"
"580756029","ITC4D","Monza e della Brianza"
"606427802","ITC4B","Mantova"
"536761770","ITC47","Brescia"
"591578835","ITC41","Varese"
"501260076","ITC48","Pavia"
"614364589","ITC4C","Milano"
"566749778","ITC49","Lodi"
"540853282","ITC43","Lecco"
"611333149","ITC4D","Monza e della Brianza"
"572283998","ITC4C","Milano"
"580313064","ITC42","Como"
"547903011","ITC4C","Milano"
"612871229","ITC4C","Milano"
"567252558","ITC46","Bergamo"
"544579627","ITC4C","Milano"
"589009397","ITC44","Sondrio"
"605069071","ITC43","Lecco"
"552347148","ITC4C","Milano"
"587478368","ITC4C","Milano"
"535237257","ITC41","Varese"
"548609154","ITC4C","Milano"
"605156795","ITC46","Bergamo"
"609437806","ITC4C","Milano"
"580930110","ITC4D","Monza e della Brianza"
"609776756","ITC4C","Milano"
"361125339","ITC4C","Milano"
"562738701","ITC47","Brescia"
"530897859","ITC4C","Milano"
"558448215","ITC43","Lecco"
"596136394","ITC47","Brescia"
"552346271","ITC4C","Milano"
"614838466","ITC47","Brescia"
"547901065","ITC46","Bergamo"
"586871672","ITC4C","Milano"
"533830117","ITC41","Varese"
"533819522","ITC4C","Milano"
"592133939","ITC4D","Monza e della Brianza"
"536756488","ITC43","Lecco"
"567091290","ITC4C","Milano"
"580414561","ITC4D","Monza e della Brianza"
"589947471","ITC42","Como"
"586858190","ITC4B","Mantova"
"580755093","ITC4C","Milano"
"566328218","ITC48","Pavia"
"572458970","ITC41","Varese"
"582602465","ITC4C","Milano"
"542357955","ITC4C","Milano"
"586682834","ITC42","Como"
"544414076","ITC4C","Milano"
"586252446","ITC44","Sondrio"
"542329683","ITC46","Bergamo"
"492804734","ITC4C","Milano"
"567177336","ITC4C","Milano"
"552743688","ITC4A","Cremona"
"610532845","ITC4C","Milano"
"573485184","ITC4C","Milano"
"561542851","ITC47","Brescia"
"591579678","ITC41","Varese"
"543529372","ITC4C","Milano"
"547531870","ITC41","Varese"
"568291736","ITC42","Como"
"547903329","ITC4C","Milano"
"462313071","ITC4C","Milano"
"535081883","ITC46","Bergamo"
"611351702","ITC4C","Milano"
"490229487","ITC4D","Monza e della Brianza"
"612871315","ITC4C","Milano"
"572289654","ITC4D","Monza e della Brianza"
"566334241","ITC4C","Milano"
"550867104","ITC4C","Milano"
"612564106","ITC47","Brescia"
"544508153","ITC43","Lecco"
"550869308","ITC4D","Monza e della Brianza"
"614269151","ITC47","Brescia"
"592860386","ITC41","Varese"
"552347835","ITC4C","Milano"
"567158513","ITC48","Pavia"
"509984656","ITC48","Pavia"
"550859947","ITC47","Brescia"
"609089917","ITC4C","Milano"
"609763289","ITC47","Brescia"
"547902913","ITC4C","Milano"
"590147130","ITC4B","Mantova"
"556080765","ITC4C","Milano"
"536765461","ITC49","Lodi"
"488644880","ITC47","Brescia"
"580752417","ITC43","Lecco"
"561540933","ITC4C","Milano"
"547901880","ITC48","Pavia"
"608533729","ITC4C","Milano"
"586211983","ITC4C","Milano"
"595434584","ITC4C","Milano"
"573487333","ITC46","Bergamo"
"475122081","ITC49","Lodi"
"589043269","ITC41","Varese"
"586211365","ITC4C","Milano"
"595434866","ITC4D","Monza e della Brianza"
"592857799","ITC4B","Mantova"
"509812216","ITC4C","Milano"
"552470539","ITC4D","Monza e della Brianza"
"533798757","ITC4C","Milano"
"592104947","ITC4C","Milano"
"543497838","ITC4A","Cremona"
"598554261","ITC41","Varese"
"593192123","ITC4C","Milano"
"547535767","ITC4C","Milano"
"542354072","ITC4C","Milano"
"561728645","ITC4D","Monza e della Brianza"
"605011517","ITC46","Bergamo"
"428717897","ITC4C","Milano"
"574809860","ITC46","Bergamo"
"508633461","ITC46","Bergamo"
"611956917","ITC43","Lecco"
"614834549","ITC4C","Milano"
"547537762","ITC4C","Milano"
"576591756","ITC4C","Milano"
"589946246","ITC4C","Milano"
"546259647","ITC4C","Milano"
"565977957","ITC43","Lecco"
"567029607","ITC46","Bergamo"
"566078625","ITC41","Varese"
"607866492","ITC41","Varese"
"566334640","ITC4C","Milano"
"593190636","ITC47","Brescia"
"612870529","ITC46","Bergamo"
"607861085","ITC49","Lodi"
"509989059","ITC4C","Milano"
"556068926","ITC42","Como"
"594803585","ITC46","Bergamo"
"606588433","ITC4D","Monza e della Brianza"
"614460964","ITC46","Bergamo"
"611338186","ITC43","Lecco"
"595434453","ITC4C","Milano"
"599579371","ITC4D","Monza e della Brianza"
"614837187","ITC4C","Milano"
"561952316","ITC4C","Milano"
"605067897","ITC48","Pavia"
"578213174","ITC46","Bergamo"
"557683146","ITC4D","Monza e della Brianza"
"599648146","ITC4D","Monza e della Brianza"
"578216990","ITC41","Varese"
"503843947","ITC4C","Milano"
"549591898","ITC41","Varese"
"544523706","ITC4C","Milano"
"533799496","ITC4C","Milano"
"591580556","ITC4C","Milano"
"566074085","ITC4C","Milano"
"607904849","ITC4C","Milano"
"558473288","ITC4D","Monza e della Brianza"
"544541863","ITC4C","Milano"
"533793814","ITC4C","Milano"
"591617963","ITC4C","Milano"
"563450706","ITC41","Varese"
"599580279","ITC46","Bergamo"
"533797248","ITC4B","Mantova"
"611332911","ITC4C","Milano"
"586249192","ITC4C","Milano"
"586212527","ITC4B","Mantova"
"556079158","ITC4C","Milano"
"542327338","ITC4C","Milano"
"545559773","ITC46","Bergamo"
"575849786","ITC4D","Monza e della Brianza"
"611337467","ITC4C","Milano"
"591312548","ITC4D","Monza e della Brianza"
"580755171","ITC4C","Milano"
"599584249","ITC4C","Milano"
"566115553","ITC4C","Milano"
"605515068","ITC46","Bergamo"
"573435832","ITC4C","Milano"
"566341130","ITC4D","Monza e della Brianza"
"575840641","ITC48","Pavia"
"543060765","ITC46","Bergamo"
"575826317","ITC46","Bergamo"
"556068453","ITC4C","Milano"
"561538020","ITC41","Varese"
"572272661","ITC4C","Milano"
"442207092","ITC47","Brescia"
"552377370","ITC49","Lodi"
"547623082","ITC4B","Mantova"
"609729752","ITC4C","Milano"
"593192759","ITC4B","Mantova"
"552747453","ITC4C","Milano"
"538054848","ITC4C","Milano"
"611333931","ITC41","Varese"
"565996086","ITC4C","Milano"
"550785923","ITC4D","Monza e della Brianza"
"566792721","ITC4C","Milano"
"588574783","ITC4C","Milano"
"541359699","ITC42","Como"
"536770615","ITC4C","Milano"
"582710187","ITC43","Lecco"
"505720593","ITC4C","Milano"
"509984657","ITC47","Brescia"
"558474058","ITC4C","Milano"
"573490919","ITC4C","Milano"
"612922541","ITC4A","Cremona"
"550866441","ITC4D","Monza e della Brianza"
"605067752","ITC46","Bergamo"
"578217912","ITC4C","Milano"
"547529445","ITC4C","Milano"
"539470225","ITC41","Varese"
